rider_id,age,ratings,restaurant_latitude,restaurant_longitude,delivery_latitude,delivery_longitude,order_date,weather,traffic,vehicle_condition,type_of_order,type_of_vehicle,multiple_deliveries,festival,city_type,time_taken,city_name,order_day,order_month,order_day_of_week,is_weekend,pickup_time_minutes,order_time_hour,order_time_of_day,distance,is_traffic_jam,is_severe_weather,is_order_stacked,pickup_to_distance_ratio,is_peak_rush_hour,is_metro,rider_experience_index,is_festival
japres03del01,20.0,2.8,26.913483,75.803139,26.983483,75.873139,2022-03-16,sunny,low,2,drinks,scooter,1,no,metropolitian,32,jap,16,3,wednesday,0,10.0,0.0,after_midnight,10.427235657896496,0,0,1,0.9151445354593012,0,1,1.3333333333333333,0
aurgres04del02,29.0,4.4,19.876106,75.340775,19.956106,75.420775,2022-02-18,cloudy,jam,2,buffet,scooter,1,no,metropolitian,36,aurg,18,2,friday,0,15.0,21.0,night,12.20986822612317,1,0,1,1.18018532789898,1,1,1.4666666666666666,0
bangres18del01,26.0,4.7,12.913041,77.683237,12.983041,77.753237,2022-03-10,stormy,jam,2,drinks,scooter,1,no,metropolitian,22,bang,10,3,thursday,0,10.0,19.0,evening,10.86869350467311,1,1,1,0.8796085492048398,1,1,1.7407407407407407,0
puneres01del01,29.0,4.0,18.569156,73.774723,18.679156,73.884723,2022-03-12,windy,medium,0,drinks,motorcycle,1,no,metropolitian,36,pune,12,3,saturday,1,10.0,18.0,evening,16.851045489710874,0,0,1,0.5763341468921844,0,1,1.3333333333333333,0
japres05del02,25.0,4.6,26.905287,75.794592,27.035287,75.924592,2022-03-04,sandstorms,low,0,meal,motorcycle,1,no,metropolitian,17,jap,4,3,friday,0,5.0,22.0,night,19.36320422209685,0,1,1,0.2517217234487144,1,1,1.7692307692307692,0
vadres04del03,39.0,4.9,,,,,2022-03-12,stormy,jam,0,buffet,motorcycle,3,no,metropolitian,51,vad,12,3,saturday,1,15.0,20.0,night,9.19301447226696,1,1,1,1.547506200771396,1,1,1.225,0
ludhres03del02,38.0,4.3,30.88722,75.804893,30.93722,75.854893,2022-02-13,fog,jam,1,buffet,motorcycle,1,no,metropolitian,35,ludh,13,2,sunday,1,10.0,20.0,night,7.325558747690406,1,1,1,1.277864025102533,1,1,1.1025641025641026,0
hydres05del02,21.0,4.8,17.433809,78.386744,17.453809,78.406744,2022-03-09,cloudy,low,2,meal,motorcycle,0,no,urban,12,hyd,9,3,wednesday,0,5.0,10.0,morning,3.073599739868747,0,0,0,1.3991494190627076,0,0,2.1818181818181817,0
chenres15del01,24.0,4.5,13.026286,80.275235,13.036286,80.285235,2022-03-15,sunny,high,2,snack,electric_scooter,0,no,urban,10,chen,15,3,tuesday,0,15.0,11.0,morning,1.5524171298912166,1,0,0,7.308455859942583,0,0,1.8,0
goares04del03,29.0,4.7,15.5696,73.742294,15.6596,73.832294,2022-02-14,sunny,jam,1,snack,motorcycle,0,no,metropolitian,19,goa,14,2,monday,0,15.0,19.0,evening,13.894095776997974,1,0,0,1.0420939413207373,1,1,1.5666666666666667,0
coimbres09del01,27.0,4.6,11.008638,76.984311,11.048638,77.024311,2022-03-30,windy,high,0,buffet,motorcycle,1,no,metropolitian,17,coimb,30,3,wednesday,0,5.0,14.0,afternoon,6.232321450753526,1,0,1,0.7426858679542652,1,1,1.6428571428571428,0
mumres06del01,30.0,4.7,19.055831,72.833984,19.065831,72.843984,2022-03-21,cloudy,high,0,drinks,motorcycle,0,no,metropolitian,21,mum,21,3,monday,0,5.0,11.0,morning,1.5300320235211002,1,0,0,2.4630153327963153,0,1,1.5161290322580645,0
hydres02del01,28.0,5.0,17.41233,78.449654,17.52233,78.559654,2022-03-27,fog,low,2,snack,motorcycle,1,no,metropolitian,20,hyd,27,3,sunday,1,15.0,0.0,after_midnight,16.90375725452544,0,1,1,0.8618828555598016,0,1,1.7241379310344827,0
hydres12del03,28.0,4.6,17.429585,78.392621,17.519585,78.482621,2022-03-23,windy,medium,1,drinks,motorcycle,1,no,metropolitian,26,hyd,23,3,wednesday,0,15.0,17.0,evening,13.830084721845328,0,0,1,1.0467488707260346,0,1,1.5862068965517242,0
ranchires17del02,30.0,4.1,23.374878,85.335739,23.424878,85.385739,2022-03-17,cloudy,jam,2,meal,scooter,2,no,metropolitian,36,ranchi,17,3,thursday,0,15.0,20.0,night,7.546267706957737,1,0,1,1.8642183613937253,1,1,1.3225806451612903,0
ranchires17del02,22.0,4.9,23.374878,85.335739,23.504878,85.465739,2022-03-31,fog,medium,1,buffet,motorcycle,0,no,metropolitian,38,ranchi,31,3,thursday,0,10.0,18.0,evening,19.617581275547632,0,1,0,0.4970776488003916,0,1,2.130434782608696,0
indores20del01,23.0,4.7,22.732225,75.874765,22.772225,75.914765,2022-03-15,stormy,medium,1,buffet,scooter,0,no,metropolitian,24,indo,15,3,tuesday,0,15.0,15.0,afternoon,6.050355980667948,0,1,0,2.2899518811297384,0,1,1.9583333333333333,0
mysres06del02,21.0,4.7,12.323994,76.626167,12.453994,76.756167,2022-03-29,sandstorms,low,0,drinks,motorcycle,1,no,metropolitian,18,mys,29,3,tuesday,0,10.0,22.0,night,20.206315811338555,0,1,1,0.482944435461769,1,1,2.1363636363636362,0
mysres13del01,20.0,4.6,12.310972,76.659264,12.320972,76.669264,2022-03-28,cloudy,high,0,buffet,motorcycle,1,no,metropolitian,27,mys,28,3,monday,0,10.0,11.0,morning,1.5545440228107197,1,0,1,4.867260028976891,0,1,2.1904761904761907,0
hydres010del01,27.0,4.5,17.428294,78.404423,17.468294,78.444423,2022-04-05,fog,high,0,meal,motorcycle,0,no,urban,29,hyd,5,4,tuesday,0,10.0,12.0,afternoon,6.147127365910595,1,1,0,1.504409265765602,1,0,1.6071428571428572,0
coimbres17del01,32.0,4.7,11.026117,76.944652,11.036117,76.954652,2022-03-24,cloudy,low,0,snack,motorcycle,0,no,metropolitian,21,coimb,24,3,thursday,0,10.0,10.0,morning,1.5580739318105787,0,0,0,4.85891193967097,0,1,1.4242424242424243,0
bangres14del03,23.0,4.9,12.949934,77.699386,12.979934,77.729386,2022-03-03,cloudy,medium,0,drinks,motorcycle,1,no,metropolitian,28,bang,3,3,thursday,0,10.0,17.0,evening,4.657857733630665,0,0,1,1.9387894192577713,0,1,2.0416666666666665,0
chenres06del01,33.0,4.8,13.054347,80.257221,13.164347,80.367221,2022-03-02,windy,medium,2,buffet,scooter,1,no,urban,23,chen,2,3,wednesday,0,15.0,18.0,evening,17.07395729139767,0,0,1,0.8535357035004516,0,0,1.411764705882353,0
japres07del02,24.0,4.6,26.766536,75.837333,26.846536,75.917333,2022-03-04,sandstorms,jam,2,buffet,motorcycle,1,no,metropolitian,27,jap,4,3,friday,0,10.0,19.0,evening,11.923472540743209,1,1,1,0.8049279271318589,1,1,1.84,0
surres04del02,30.0,4.9,21.173493,72.801953,21.303493,72.931953,2022-03-31,sunny,medium,2,snack,scooter,1,no,metropolitian,22,sur,31,3,thursday,0,15.0,18.0,evening,19.76089839940378,0,0,1,0.7403422940239119,0,1,1.5806451612903225,0
ludhres11del02,36.0,5.0,30.893081,75.821495,30.973081,75.901495,2022-02-12,cloudy,medium,0,drinks,motorcycle,2,no,metropolitian,45,ludh,12,2,saturday,1,15.0,18.0,evening,11.71980974006041,0,0,1,1.2275150202073313,0,1,1.3513513513513513,0
mysres12del03,27.0,4.8,12.284747,76.625861,12.374747,76.715861,2022-03-20,sunny,jam,0,buffet,motorcycle,1,no,metropolitian,20,mys,20,3,sunday,1,5.0,20.0,night,13.990536544120216,1,0,1,0.3450527856422843,1,1,1.7142857142857142,0
puneres010del01,34.0,4.6,18.539299,73.897902,18.649299,74.007902,2022-03-29,fog,jam,2,meal,electric_scooter,2,no,metropolitian,48,pune,29,3,tuesday,0,5.0,21.0,night,16.852444613264275,1,1,1,0.2881438386023132,1,1,1.3142857142857143,0
hydres20del02,34.0,4.5,17.483216,78.552111,17.613216,78.682111,2022-03-31,sunny,low,1,buffet,motorcycle,0,no,metropolitian,16,hyd,31,3,thursday,0,10.0,23.0,night,19.97292994794248,0,0,0,0.4884498713876074,0,1,1.2857142857142858,0
chenres20del01,35.0,4.5,12.975996,80.221898,12.985996,80.231898,2022-03-19,sandstorms,low,1,meal,scooter,0,no,metropolitian,29,chen,19,3,saturday,1,5.0,9.0,morning,1.5525704156536744,0,1,0,2.4359700217191667,0,1,1.25,0
kolres010del02,30.0,4.7,22.538999,88.322337,22.668999,88.452337,2022-02-16,sunny,medium,3,meal,scooter,1,no,metropolitian,50,kol,16,2,wednesday,0,10.0,,after_midnight,19.6734314225385,0,0,1,0.49570148927800317,0,1,1.5161290322580645,0
aurgres010del01,33.0,4.7,19.875337,75.316722,19.885337,75.326722,2022-02-15,sandstorms,low,1,buffet,scooter,0,no,metropolitian,21,aurg,15,2,tuesday,0,5.0,9.0,morning,1.5263954607692642,0,1,0,2.467435452160897,0,1,1.3823529411764706,0
indores02del01,37.0,4.8,22.651847,75.881991,22.691847,75.921991,2022-03-24,sunny,high,0,snack,motorcycle,1,no,metropolitian,27,indo,24,3,thursday,0,5.0,14.0,afternoon,6.051989448511275,1,0,1,0.7631269920827003,1,1,1.263157894736842,0
bangres14del02,20.0,4.8,12.949934,77.699386,12.999934,77.749386,2022-03-03,fog,medium,1,meal,motorcycle,0,no,urban,15,bang,3,3,thursday,0,10.0,19.0,evening,7.762944133594541,0,1,0,1.210222390266822,1,0,2.2857142857142856,0
mumres01del01,36.0,4.7,19.12663,72.829976,19.13663,72.839976,2022-03-15,sandstorms,low,2,buffet,electric_scooter,1,no,metropolitian,29,mum,15,3,tuesday,0,15.0,9.0,morning,1.5297232853100244,0,1,1,7.390169935262318,0,1,1.2702702702702702,0
mysres07del03,36.0,4.4,12.325461,76.632278,12.385461,76.692278,2022-04-01,sandstorms,jam,2,snack,scooter,1,no,urban,31,mys,1,4,friday,0,15.0,19.0,evening,9.326577421221064,1,1,1,1.526472479380932,1,0,1.1891891891891893,0
bangres09del03,31.0,4.8,12.934179,77.615797,12.994179,77.675797,2022-04-03,sunny,medium,0,meal,motorcycle,1,no,metropolitian,26,bang,3,4,sunday,1,5.0,17.0,evening,9.315729044609784,0,0,1,0.5093865139590119,0,1,1.5,0
hydres18del03,34.0,4.9,17.450851,78.379347,17.510851,78.439347,2022-03-11,fog,jam,0,buffet,motorcycle,0,no,metropolitian,34,hyd,11,3,friday,0,10.0,19.0,evening,9.219905581616992,1,1,0,1.028816578106761,1,1,1.4,0
bangres12del02,25.0,4.7,12.939496,77.625999,12.989496,77.675999,2022-03-19,fog,jam,0,snack,motorcycle,0,no,metropolitian,23,bang,19,3,saturday,1,10.0,21.0,night,7.763102784727143,1,1,0,1.2101991540614985,1,1,1.8076923076923077,0
alhres08del01,39.0,4.7,25.450329,81.834279,25.520329,81.904279,2022-02-12,sandstorms,low,2,buffet,scooter,0,no,metropolitian,21,alh,12,2,saturday,1,10.0,23.0,night,10.485869597395448,0,1,0,0.9102602130259055,0,1,1.175,0
surres02del01,24.0,4.7,21.186608,72.794136,21.226608,72.834136,2022-03-03,sandstorms,medium,0,meal,motorcycle,1,no,metropolitian,26,sur,3,3,thursday,0,10.0,16.0,afternoon,6.080888252609821,0,1,1,1.519551710368922,0,1,1.88,0
surres11del02,29.0,4.9,21.157735,72.768778,21.207735,72.818778,2022-03-30,cloudy,jam,0,drinks,motorcycle,1,no,metropolitian,23,sur,30,3,wednesday,0,15.0,21.0,night,7.601681384871197,1,0,1,1.851467527223483,1,1,1.6333333333333333,0
puneres13del02,34.0,4.0,18.56245,73.916619,18.64245,73.996619,2022-03-12,sandstorms,jam,0,meal,motorcycle,1,no,urban,35,pune,12,3,saturday,1,10.0,20.0,night,12.256046315965444,1,1,1,0.7839419638578781,1,0,1.1428571428571428,0
vadres12del01,25.0,4.4,,,,,2022-03-06,windy,jam,0,buffet,motorcycle,1,no,metropolitian,32,vad,6,3,sunday,1,15.0,21.0,night,9.19301447226696,1,0,1,1.547506200771396,1,1,1.6923076923076923,0
japres07del01,34.0,4.7,26.766536,75.837333,26.776536,75.847333,2022-03-19,stormy,high,0,meal,motorcycle,1,no,urban,41,jap,19,3,saturday,1,5.0,11.0,morning,1.4906380442411205,1,1,1,2.5117574812080523,0,0,1.3428571428571427,0
bangres01del02,34.0,4.8,12.933284,77.615428,12.983284,77.665428,2022-03-13,sunny,jam,0,meal,motorcycle,1,no,metropolitian,20,bang,13,3,sunday,1,15.0,20.0,night,7.763197145328887,1,0,1,1.8152780015032521,1,1,1.3714285714285714,0
mysres17del01,38.0,4.8,12.326356,76.619103,12.336356,76.629103,2022-03-28,sandstorms,low,1,drinks,scooter,1,no,metropolitian,27,mys,28,3,monday,0,15.0,8.0,morning,1.5544994921789963,0,1,1,7.301048287965768,0,1,1.2307692307692308,0
kolres12del01,33.0,4.9,22.551084,88.354127,22.661084,88.464127,2022-02-12,sandstorms,low,2,meal,scooter,1,no,metropolitian,24,kol,12,2,saturday,1,5.0,23.0,night,16.64663439144687,0,1,1,0.29160241513600554,0,1,1.4411764705882353,0
ludhres15del02,38.0,4.1,30.899584,75.809346,30.979584,75.889346,2022-02-12,cloudy,low,1,drinks,scooter,1,no,metropolitian,31,ludh,12,2,saturday,1,10.0,23.0,night,11.719471817434323,0,0,1,0.8183659776302559,0,1,1.0512820512820513,0
puneres18del03,23.0,4.7,18.593481,73.785901,18.683481,73.875901,2022-03-02,windy,low,1,buffet,scooter,0,no,urban,16,pune,2,3,wednesday,0,5.0,23.0,night,13.78666969363518,0,0,0,0.3499765940712928,0,0,1.9583333333333333,0
bangres16del03,29.0,4.8,13.029198,77.570997,13.089198,77.630997,2022-03-05,windy,jam,1,drinks,motorcycle,0,no,metropolitian,14,bang,5,3,saturday,1,15.0,19.0,evening,9.31399060766806,1,0,0,1.5284302379788202,1,1,1.6,0
kolres06del03,22.0,4.8,22.533662,88.366217,22.593662,88.426217,2022-02-13,sandstorms,jam,0,meal,motorcycle,1,no,metropolitian,26,kol,13,2,sunday,1,15.0,19.0,evening,9.081270101191445,1,1,1,1.565554445452355,1,1,2.0869565217391304,0
kolres09del02,34.0,4.1,22.515082,88.36783,22.645082,88.49783,2022-02-16,stormy,medium,0,drinks,motorcycle,2,no,metropolitian,45,kol,16,2,wednesday,0,5.0,18.0,evening,19.675003918662792,0,1,1,0.24783142646008477,0,1,1.1714285714285715,0
puneres05del02,35.0,4.8,18.543626,73.905101,18.623626,73.985101,2022-03-02,stormy,jam,0,meal,motorcycle,1,yes,metropolitian,47,pune,2,3,wednesday,0,5.0,21.0,night,12.256687342592269,1,1,1,0.39195128529221734,1,1,1.3333333333333333,1
japres13del01,30.0,4.6,26.846156,75.8023,26.956156,75.9123,2022-03-20,sandstorms,medium,1,meal,motorcycle,0,no,metropolitian,29,jap,20,3,sunday,1,5.0,17.0,evening,16.388699354723066,0,1,0,0.2960559540425301,0,1,1.4838709677419355,0
coimbres01del03,30.0,4.7,11.016298,76.972076,11.046298,77.002076,2022-04-05,sunny,jam,0,buffet,motorcycle,1,no,metropolitian,26,coimb,5,4,tuesday,0,10.0,,after_midnight,4.674220356187267,1,0,1,1.9326583159609982,0,1,1.5161290322580645,0
kolres07del03,31.0,5.0,22.547186,88.35068,22.577185,88.38068,2022-02-15,cloudy,jam,2,snack,scooter,0,no,metropolitian,28,kol,15,2,tuesday,0,15.0,21.0,night,4.540575857362341,1,0,0,2.9758504632145897,1,1,1.5625,0
indores17del01,28.0,4.5,22.761226,75.887522,22.801226,75.927522,2022-04-05,sandstorms,high,2,meal,scooter,0,no,metropolitian,16,indo,5,4,tuesday,0,5.0,14.0,afternoon,6.049765396707469,1,1,0,0.763386121053049,1,1,1.5517241379310345,0
japres13del02,38.0,4.7,26.846156,75.8023,26.976156,75.9323,2022-03-10,windy,low,0,meal,motorcycle,0,no,metropolitian,26,jap,10,3,thursday,0,15.0,22.0,night,19.36770197203108,0,0,0,0.7549942122705672,1,1,1.205128205128205,0
alhres20del01,39.0,4.6,25.454697,81.834492,25.524697,81.904492,2022-02-14,cloudy,medium,1,buffet,motorcycle,2,no,metropolitian,39,alh,14,2,monday,0,15.0,18.0,evening,10.485698499568803,0,0,1,1.365411584942802,0,1,1.15,0
surres03del02,24.0,4.8,21.186884,72.793616,21.236884,72.843616,2022-03-07,cloudy,jam,0,buffet,motorcycle,1,no,metropolitian,28,sur,7,3,monday,0,10.0,21.0,night,7.600983953739401,1,0,1,1.2344179493633012,1,1,1.92,0
ranchires18del02,30.0,4.7,23.351489,85.324253,23.401489,85.374253,2022-04-01,stormy,jam,0,drinks,motorcycle,0,no,metropolitian,36,ranchi,1,4,friday,0,10.0,,after_midnight,7.546876906900249,1,1,0,1.2427181521100361,0,1,1.5161290322580645,0
bhpres010del03,32.0,4.6,23.266261,77.379605,23.356261,77.469605,2022-02-14,cloudy,medium,0,meal,motorcycle,3,no,metropolitian,45,bhp,14,2,monday,0,5.0,17.0,evening,13.5874308810486,0,0,1,0.3549263199386022,0,1,1.393939393939394,0
bangres010del01,23.0,4.9,12.933298,77.614293,12.943298,77.624293,2022-03-15,sandstorms,low,1,drinks,motorcycle,0,no,metropolitian,10,bang,15,3,tuesday,0,15.0,10.0,morning,1.5527001159059903,0,1,0,7.3074483134520225,0,1,2.0416666666666665,0
hydres17del02,22.0,4.9,17.451976,78.385883,17.471976,78.405883,2022-03-30,stormy,low,1,drinks,scooter,0,no,urban,19,hyd,30,3,wednesday,0,15.0,8.0,morning,3.0734537599377685,0,1,0,4.197619728053015,0,0,2.130434782608696,0
vadres05del02,37.0,5.0,22.310526,73.170937,22.440526,73.300937,2022-03-02,sunny,medium,2,snack,motorcycle,1,no,metropolitian,28,vad,2,3,wednesday,0,15.0,17.0,evening,19.688394563498186,0,0,1,0.7430011313094153,0,1,1.3157894736842106,0
coimbres06del02,25.0,4.9,11.021278,76.995017,11.101278,77.075017,2022-03-06,cloudy,low,2,meal,scooter,0,no,metropolitian,23,coimb,6,3,sunday,1,15.0,23.0,night,12.463962426993913,0,0,0,1.157053646558447,0,1,1.8846153846153846,0
ranchires01del03,25.0,4.7,23.416792,85.316842,23.476792,85.376842,2022-03-05,sunny,jam,1,meal,scooter,0,no,urban,11,ranchi,5,3,saturday,1,15.0,21.0,night,9.054052950169496,1,0,0,1.5700143256725294,1,0,1.8076923076923077,0
puneres06del01,35.0,5.0,18.546258,73.904337,18.556258,73.914337,2022-03-11,stormy,low,1,drinks,motorcycle,1,no,urban,24,pune,11,3,friday,0,15.0,8.0,morning,1.5322236104030795,0,1,1,7.3810775168707154,0,0,1.3888888888888888,0
indores04del03,28.0,4.5,22.753659,75.903365,22.783659,75.933365,2022-03-03,stormy,medium,1,buffet,scooter,1,no,metropolitian,28,indo,3,3,thursday,0,5.0,18.0,evening,4.537516076226438,0,1,1,0.9925526637218117,0,1,1.5517241379310345,0
bhpres08del02,35.0,4.0,23.232537,77.429845,23.252537,77.449845,2022-02-17,sandstorms,low,0,snack,motorcycle,1,no,metropolitian,21,bhp,17,2,thursday,0,15.0,9.0,morning,3.020142428966553,0,1,1,4.261191216743953,0,1,1.1111111111111112,0
indores01del01,21.0,4.5,22.695207,75.866059,22.735207,75.906059,2022-04-01,windy,high,0,snack,motorcycle,1,no,metropolitian,19,indo,1,4,friday,0,10.0,13.0,afternoon,6.051108888205776,1,0,1,1.526459133964847,1,1,2.0454545454545454,0
puneres01del03,34.0,4.1,18.569156,73.774723,18.599156,73.804723,2022-03-17,sandstorms,medium,0,meal,motorcycle,1,no,metropolitian,38,pune,17,3,thursday,0,10.0,17.0,evening,4.596251207088927,0,1,1,1.962226663020441,0,1,1.1714285714285715,0
surres17del01,36.0,4.8,21.149569,72.772697,21.259569,72.882697,2022-03-04,cloudy,jam,1,meal,scooter,1,no,urban,38,sur,4,3,friday,0,10.0,19.0,evening,16.722548420715,1,0,1,0.5806341637554732,1,0,1.2972972972972974,0
ranchires01del01,29.0,4.3,23.416792,85.316842,23.426792,85.326842,2022-03-26,sandstorms,high,0,buffet,motorcycle,1,no,metropolitian,36,ranchi,26,3,saturday,1,10.0,11.0,morning,1.5091393275325462,1,1,1,4.977255615359015,0,1,1.4333333333333333,0
ranchires06del03,26.0,4.7,23.357804,85.325146,23.387804,85.355146,2022-03-30,cloudy,jam,0,buffet,motorcycle,0,no,metropolitian,25,ranchi,30,3,wednesday,0,10.0,21.0,night,4.528183776759067,1,0,0,1.9887896791325184,1,1,1.7407407407407407,0
mumres16del03,31.0,4.8,19.120083,72.907385,19.150083,72.937385,2022-03-13,fog,jam,1,drinks,scooter,1,no,metropolitian,35,mum,13,3,sunday,1,5.0,19.0,evening,4.589124571257244,1,1,1,0.9824872490328477,1,1,1.5,0
coimbres19del02,39.0,4.8,11.022298,76.998349,11.072298,77.048349,2022-03-21,fog,low,2,buffet,scooter,1,no,metropolitian,15,coimb,21,3,monday,0,15.0,22.0,night,7.790158927084966,0,1,1,1.8093742390140626,1,1,1.2,0
indores11del02,35.0,4.8,22.751234,75.88949,22.771234,75.90949,2022-03-15,sunny,low,2,drinks,motorcycle,1,no,metropolitian,15,indo,15,3,tuesday,0,10.0,8.0,morning,3.02508632954624,0,0,1,2.836809957300317,0,1,1.3333333333333333,0
indores05del01,30.0,4.9,22.727021,75.884167,22.837021,75.994167,2022-03-23,sandstorms,jam,1,snack,motorcycle,1,no,metropolitian,29,indo,23,3,wednesday,0,5.0,21.0,night,16.636808584025776,1,1,1,0.29176961249720634,1,1,1.5806451612903225,0
ranchires20del01,37.0,4.7,23.39925,85.390464,23.50925,85.500464,2022-03-27,fog,jam,0,snack,motorcycle,2,no,metropolitian,45,ranchi,27,3,sunday,1,10.0,21.0,night,16.59866734050554,1,1,1,0.5848409002209607,1,1,1.236842105263158,0
puneres02del03,27.0,4.6,18.55144,73.804855,18.61144,73.864855,2022-03-17,windy,medium,0,buffet,motorcycle,0,no,metropolitian,14,pune,17,3,thursday,0,5.0,18.0,evening,9.192571532077611,0,0,0,0.5158589733851823,0,1,1.6428571428571428,0
surres04del03,31.0,4.6,21.173493,72.801953,21.263493,72.891953,2022-03-29,cloudy,jam,1,meal,scooter,0,no,metropolitian,38,sur,29,3,tuesday,0,10.0,20.0,night,13.68148555689137,1,0,0,0.7051447438199157,1,1,1.4375,0
bangres06del01,30.0,4.6,12.979096,77.640625,13.089096,77.750625,2022-03-25,windy,low,2,meal,scooter,1,no,metropolitian,26,bang,25,3,friday,0,10.0,0.0,after_midnight,17.076492495612452,0,0,1,0.5689417272812684,0,1,1.4838709677419355,0
mysres18del01,32.0,4.7,12.337928,76.617889,12.407928,76.687889,2022-03-16,sunny,jam,2,meal,scooter,1,no,metropolitian,25,mys,16,3,wednesday,0,15.0,20.0,night,10.88065184853556,1,0,1,1.3180264364145513,1,1,1.4242424242424243,0
ranchires02del03,28.0,4.8,,,,,2022-03-30,cloudy,low,1,buffet,scooter,0,no,metropolitian,10,ranchi,30,3,wednesday,0,10.0,23.0,night,9.19301447226696,0,0,0,1.0316708005142639,0,1,1.6551724137931034,0
hydres06del02,29.0,4.8,17.455894,78.375467,17.535894,78.455467,2022-03-10,sandstorms,medium,0,buffet,motorcycle,0,no,metropolitian,34,hyd,10,3,thursday,0,10.0,17.0,evening,12.29272274148856,0,1,0,0.7816944212797345,0,1,1.6,0
bangres06del03,35.0,4.7,12.979096,77.640625,13.069096,77.730625,2022-04-02,stormy,low,0,meal,motorcycle,0,no,metropolitian,23,bang,2,4,saturday,1,15.0,22.0,night,13.971950882978046,0,1,0,1.0364877632111817,1,1,1.3055555555555556,0
bhpres03del02,35.0,4.9,23.214294,77.435361,23.234294,77.455361,2022-02-15,fog,high,0,drinks,motorcycle,1,no,metropolitian,33,bhp,15,2,tuesday,0,5.0,12.0,afternoon,3.020331426457926,1,1,1,1.4203208148020545,1,1,1.3611111111111112,0
ranchires17del02,32.0,4.9,23.374878,85.335739,23.424878,85.385739,2022-03-01,fog,medium,0,snack,motorcycle,1,no,metropolitian,28,ranchi,1,3,tuesday,0,15.0,17.0,evening,7.546267706957737,0,1,1,1.8642183613937253,0,1,1.4848484848484849,0
hydres010del03,27.0,4.9,17.428294,78.404423,17.488294,78.464423,2022-03-05,stormy,jam,2,buffet,scooter,1,no,metropolitian,16,hyd,5,3,saturday,1,5.0,21.0,night,9.220449825751995,1,1,1,0.5143794875370584,1,1,1.75,0
ranchires010del02,39.0,4.7,23.354422,85.3329,23.404422,85.3829,2022-03-01,cloudy,low,0,snack,motorcycle,1,no,metropolitian,27,ranchi,1,3,tuesday,0,10.0,22.0,night,7.546800541055753,0,0,1,1.2427299457689782,1,1,1.175,0
